카테고리,공고제목,공고대상,지원사업유형명,사업기간,접수기간,공고내용
소진공 공고조회,영월 식품제조 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-02-01 ~ 2026-01-31,2025-04-09 00:00 ~ 2026-01-31 00:00,"영월 식품제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 영월 식품제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 033-372-2455     - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,전주 팔복 금속가공 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-02-01 ~ 2026-01-31,2025-04-09 00:00 ~ 2026-01-31 00:00,"전주 팔복 금속가공 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 전주 팔복 금속가공 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 063-902-0003 / 063-902-1105 / 063-902-1106 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,순창 장류 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-02-01 ~ 2026-01-31,2025-04-09 00:00 ~ 2026-01-31 00:00,"순창 장류 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 순창 장류 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 063-652-1032 / 063-652-1034 / 063-652-1030 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,김해 진례 도자 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-02-01 ~ 2026-01-31,2025-04-09 00:00 ~ 2026-01-31 00:00,"김해 진례 도자 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 김해 진례 도자 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-4903-5545 / 070-4903-5546 / 055-345-6161 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,광주 충장 귀금속 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"광주 충장 귀금속 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 광주 충장 귀금속 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 062-226-3999 / 062-226-3999 / 062-226-3999 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,광주 서남 인쇄 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"광주 서남 인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 광주 서남 인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 062-236-5010 / 062-236-5011 / 062-236-5012 / 062-236-5013 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,부산 서동 의류제조 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"부산 서동 의류제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 부산 서동 의류제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 051-525-9968 / 051-525-9968 / 051-525-9968 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,부산범천 가죽가방신발 소공인특화지원센터 소공인 모집 공,,,,,
소진공 공고조회,부산 범일 의류제조 소공인특화지원센터 소공인 모집 공고,,,,,
소진공 공고조회,부산 범천 귀금속 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"부산 범천 귀금속 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 부산 범천 귀금속 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 051-636-7518 / 051-636-7510 / 051-636-7511 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,대구 노원 안경제조 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"대구 노원 안경제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 대구 노원 안경제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 053-350-7860 / 053-350-7862 / 053-350-7861 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,대구 대봉 의류봉제 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"대구 대봉 의류봉제 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 대구 대봉 의류봉제 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 053-783-2100 / 053-783-2202 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,대구 성내 주얼리 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"대구 성내 주얼리 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 대구 성내 주얼리 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 053-219-4421 / 053-219-4422 / 053-219-4423 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,인천 송림 기타기계장비 소공인특화지원센터 소공인 모집,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"인천 송림 기타기계장비 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 인천 송림 기타기계장비 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 032-715-7597 / 032-715-7478 / 032-715-7427 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,시흥 정왕 전기장비 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"시흥 정왕 전기장비 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 시흥 정왕 전기장비 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-7784-8802 / 070-7784-8801 / 070-8879-1172 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,동탄 전자부품 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"동탄 전자부품 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 동탄 전자부품 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-377-2165 / 031-377-4165 / 031-377-4165 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,안양 전자부품 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"안양 전자부품 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 안양 전자부품 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-8045-6728 / 031-8045-6738 / 031-8045-6718 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,고양 장항 인쇄 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-08 ~ 2026-01-31,2025-04-08 00:00 ~ 2026-01-31 23:59,"고양 장항 인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 고양 장항 인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-913-9401 / 031-913-9403 / 031-913-6611 - 시스템 문의(오류 등) : 1644-5302"
