지역,카테고리,첨부파일 여부,공고제목,금리(%),최대한도(만원),지원대상,용도,취급기관,대출기간(년),상환방법,대출한도(만원),총대출기간(년),금리(%)(금리구분),지원대상 상세조건,소득기준,신용조건,연령대,특이사항,제공기관/취급기관,문의처,신청(가입)방법,중도상환수수료,대출부대비용,연체이자율(%),우대/가산금리 조건,기타 참고사항,관련사이트,운영기한
대구광역시,대출상품 조회,1,2025년 달성군 소상공인 경영안정자금 지원 특례보증,은행별 상이,"Track1,2:본건 3000이내(같은기업당 최대 7000이내) Track3:본건 1000이내(같은기업당 7000이내)",소상공인,운영,"농협은행, 아이엠뱅크, 새마을금고","2,5",일시상환 또는 분할상환,"Track1,2:본건 3000이내(같은기업당 최대 7000이내) Track3:본건 1000이내(같은기업당 7000이내)(은행금리)","2,5(상환3/거치2)",은행별 상이(은행금리),"■ Track 1 일반 。아래 4가지 사항을 모두 충족하는 소상공인 ① 공부상, 실제 사업장이 달성군 소재 기업일 것 ② 보증신청 접수일 현재 사업자등록 후 가동(영업)중일 것 ③ 심사일 현재 대표자의 개인신용평점이 880~1,000점일 것 ④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것 ■ Track 2 중·저신용자 。아래 4가지 사항을 모두 충족하는 소상공인 ① 공부상, 실제 사업장이 달성군 소재 기업일 것 ② 보증신청 접수일 현재 사업자등록 후 가동(영업)중일 것 ③ 심사일 현재 대표자의 개인신용평점이 595~879점일 것 ④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것 ■ Track 3 저신용자 。아래 4가지 사항을 모두 충족하는 소상공인 ① 공부상, 실제 사업장이 달성군 소재 기업일 것 ② 보증신청 접수일 현재 사업자등록 후 가동(영업)중일 것 ③ 심사일 현재 대표자의 개인신용평점이 350~744점일 것 ④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것",없음,"■ Track 1 일반 : 심사일 현재 대표자의 개인신용평점이 880~1,000점일 것 ■ Track 2 중·저신용자 : 심사일 현재 대표자의 개인신용평점이 595~879점일 것 ■ Track 3 저신용자 : 심사일 현재 대표자의 개인신용평점이 350~744점일 것",없음,-,"대구신용보증재단 / 농협은행, 아이엠뱅크, 새마을금고",- 죽전지점 : 053-560-6400- 월배지점 : 053-639-4343- 범어동지점 : 053-744-6500,관할구역 영업점 문의,없음,보증료율 연 0.8% 고정 (100% 전액보증),-,없음,"보증한도- Track1,2 : 본건 30백만원 이내(같은기업당 최대 70백만원 이내)- Track3 : 본건 10백만원(같은기업당 70백만원 이내)",https://www.dgsinbo.or.kr/page/10067/10117.tc?pageDtlOrdrNo=1&boardMngNo=3&boardNo=7941&importUrl=/board/view.tc,2025.1.20 ~ 자금소진시까지
대구광역시,대출상품 조회,0,2025년 북구 소상공인 경영안정자금 지원 특례보증(Ⅱ),은행별 상이,3000 * 같은 기업 당 보증금액 7000 이내,소상공인,운영,"아이엠뱅크, 새마을금고",5,일시상환 또는 분할상환,3000 * 같은 기업 당 보증금액 7000 이내(은행금리),5(상환4/거치1),은행별 상이(은행금리),"아래 4가지 사항을 모두 충족하는 소상공인① 공부상·실제 사업장이 북구 소재 기업일 것② 보증신청 접수일 현재 개업(설립)일로부터 3개월 이상 영업 중일 것③ 접수일 현재 대표자의 개인신용평점이 595점 이상일 것④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것",없음,접수일 현재 대표자의 개인신용평점이 595점 이상일 것,없음,-,"대구신용보증재단 / 아이엠뱅크, 새마을금고",북지점 : 053-601-5255,관할구역 영업점 문의,없음,보증료율 연 0.8% 고정 (100% 전액보증),-,없음,1년간 대출이자 중 3% 지원,https://www.ttg.co.kr,2025년 8월 18일 ~ 자금소진시
대구광역시,대출상품 조회,0,2025년 남구 소상공인 경영안정자금 지원 특례보증,은행별 상이,2000 * 같은 기업 당 보증금액 7000 이내,소상공인,운영,아이엠뱅크,"2,5",일시상환 또는 분할상환,2000 * 같은 기업 당 보증금액 7000 이내(은행금리),"2,5(상환3/거치2)",은행별 상이(은행금리),"아래 4가지 사항을 모두 충족하는 소상공인① 공부상·실제 사업장이 남구 소재 기업일 것② 보증신청 접수일 현재 개업(설립)일로부터 3개월 이상 영업 중일 것③ 접수일 현재 대표자의 개인신용평점이 595점 이상일 것④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것",없음,접수일 현재 대표자의 개인신용평점이 595점 이상일 것,없음,-,대구신용보증재단 / 아이엠뱅크,남지점 : 053-473-2600,관할구역 영업점 문의,없음,보증료율 연 0.8% 고정 (100% 전액보증),-,없음,2년간 대출이자 중 2% 지원,https://www.ttg.co.kr,2025년 6월 23일 ~ 자금소진시
강원특별자치도,대출상품 조회,0,2025 철원군 출연 소상공인 협약보증,-,5000,"소상공인, 기업",-,"농협은행 철원군지부, 동송중앙지점",5,원금균등분할상환,5000,5(상환4/거치1),-,철원군 관내에 사업자등록 후 가동중인 개인사업자 중 아래의 요건에 해당하는 소상공인,없음,재단 내부신용평가 B 등급 이상인 기업,없음,,"강원신용보증재단 / 농협은행 철원군지부, 동송중앙지점",033-260-0001,"비대면 신청(보증드림), 대면 신청(상담예약 후 지점 방문)",-,보증료 0.8%,-,-,-,https://www.gwsinbo.or.kr/board/board_view.php?view_id=165&board_name=product&page=1,한도 소진 시까지
전북특별자치도,대출상품 조회,0,(전라북도 소상공인 민생회복 금융지원사업 Track 2) 소기업육성 4無 안심자금 지원_Track1(“예비창업자 지원부문”),은행별 상이,9900,"소기업, 소상공인",창업,전북신용보증재단,8,원금균등분할상환,9900(변동금리),"8(상환7, 8/거치0, 1)",은행별 상이(변동금리),대상기업은 다음 각 호의 요건을 모두 충족하고 재단이 정하는 사업(창업)계획서를 제출한 소상공인 (예비)창업자로 한다.(소기업·중기업 제외)1. 사업장이 전라북도에 소재하고 업력 3개월 미만(예비창업자 포함)일 것2. 대표자(실제경영자 포함)의 개인 신용평점이 595점 이상일 것3. 대표자(예비창업자)가 보증신청 기업 외에 다른 기업체의 대표자(실제경영자 포함)가 아닐 것4. 재단 신용평가시스템에 의한 평가등급이 CCC등급 이상일 것5. 재단이 지정하는 (재)창업교육과 (재)창업컨설팅(또는 역량강화컨설팅)을 이수(수진)하였을 것6. 컨설턴트의 진단 Solution을 이행하였을 것7. 자기부담 50% 이상의 자금조달계획서를 제출하고 보증승인 전까지 자금조달 내역을 증빙할 것8. 예비창업자는 제5호의 요건을 충족하고 실시한 첫 번째 보증상담 이후 3개월 이내에 사업자등록을 완료할 것,없음,대표자(실제경영자 포함)의 개인 신용평점이 595점 이상,없음,-,전북신용보증재단 / 전북신용보증재단,전북신용보증재단 사업장주소지 관할 영업점,전북신용보증재단 각 지점 문의,-,없음 (재단에서 연 0.8%보증료 전액지원),-,없음,-,https://www.jbcredit.or.kr/site/menu/MENU_000000000000040/board/view/NTT_003520,자금소진시까지
전북특별자치도,대출상품 조회,0,(전라북도 소상공인 민생회복 금융지원사업 Track 3) 자영업자 다시서기 프로젝트,은행별 상이,5000,소상공인,창업,전북신용보증재단,9,원금균등분할상환,5000(변동금리),9(상환8/거치1),은행별 상이(변동금리),신용보증신청 접수일 현재 (재)창업을 통해 재기를 희망하는 성실실패자* 중 다음 각 호의 요건을 모두 충족하고 “재단에서 요구하는 사업(창업)계획서”를 제출한 소상공인 (예비)창업자로 한다.(소기업·중기업 제외) 1. 사업장이 전라북도에 소재하고 있을 것(예비창업자 포함) 2. 대표자(예비창업자)가 보증신청 기업 외에 다른 기업체의 대표자(실제경영자 포함)가 아닐 것 3. 재단이 지정하는 재기지원 (재)창업교육과 (재)창업컨설팅(또는 역량강화컨설팅) 및 재무컨설팅을 이수(수진)하였을 것 4. 컨설턴트의 진단 Solution’을 이행하였을 것 5. 자기부담 50% 이상의 자금조달계획서를 제출하고 보증승인 전까지 자금조달 내역을 증빙할 것 6. 도덕성 검토표’에 따른 도덕성 검토항목을 모두 충족하고 있을 것 7. 예비창업자는 제6호를 제외한 상기의 요건을 충족하고 실시한 첫 번째 보증상담 이후 3개월 이내에 사업자등록을 완료할 것,없음,없음,없음,-,전북신용보증재단 / 전북신용보증재단,전북신용보증재단 사업장주소지 관할 영업점,전북신용보증재단 각 지점 문의,-,보증료율 : 1.0%,-,-,교육 및 컨설팅 유효기간 : 교육·컨설팅 유효기간은 교육·컨설팅 수료(수진)일로부터 1년보증기간 : 아래 각 호에서 정하는 어느 하나의 방식으로 운용 1. 거치기간 없이 2년 원금균등분할상환(1개월) 2. 거치기간 없이 3년 원금균등분할상환(1개월) 3. 1년 거치 4년 원금균등분할상환(1개월) 또는 거치기간 없이 5년 원금균등분할상환(1개월) 4. 1년 거치 7년 원금균등분할상환(1개월) 또는 거치기간 없이 8년 원금균등분할상환(1개월),https://www.jbcredit.or.kr/site/menu/MENU_000000000000040/board/view/NTT_003519,자금소진시까지
전라남도,대출상품 조회,0,시·군 소상공인 융자금 이차보전사업,-,5000,소상공인,시설,전남신용보증재단,2,일시상환,5000(변동금리),2(상환0/거치2),-,"각 시·군에 주민등록이 되어있고 실제 거주하고 있는 소상공인(현재 중인 시·군 : 광양, 구례, 나주, 담양, 목포, 무안, 순천, 여수, 완도, 장성, 장흥, 진도, 함평, 해남, 화순)",없음,없음,없음,-,전남신용보증재단 / 전남신용보증재단,전남신용보증재단 061-729-0600,전남신용보증재단 각 지점 방문,-,-,-,-,-,https://www.jnsinbo.or.kr,자금소진시까지
전라남도,대출상품 조회,0,전라남도 소상공인 경영안정자금,3,20000,소상공인,운영·시설,취급기관(10개),2,만기일시상환,20000(변동금리),2(상환0/거치2),3(변동금리),"- 도내 소재한 창업 2년 미만의 소상공인- 업력 5년 미만의 업체로 최근 2년 이내 전남신용보증재단, 전남창조경제혁신센터, 소상공인시장진흥공단에서 창업 또는 경영개선 관련 교육(컨설팅 포함) 이수 사업자",없음,없음,없음,-,전남신용보증재단 / 취급기관(10개),전남신용보증재단 061-729-0600,전남신용보증재단 각 지점 방문,-,-,-,없음,-,https://www.jnsinbo.or.kr,자금 소진시까지
세종특별자치시,대출상품 조회,0,세종특별자치시 소상공인 자금,-,7000,소상공인,운영,세종신용보증재단,"2, 3","일시상환, 균등분할상환",7000(변동금리),"2, 3(상환0, 2/거치1, 2)",-,세종특별자치시 소재 소상공인,없음,-,없음,-,세종신용보증재단 / 세종신용보증재단,세종신용보증재단 지점,세종신용보증재단 방문 및 상담,-,보증료율 1.0%,-,-,-,https://sjsinbo.or.kr/,자금소진시까지
경상북도,대출상품 조회,1,시군 소상공인 특례보증,2년간 2~3,"2,000~3,000","중소기업, 소상공인",운영·시설,취급은행,"2, 5","일시상환, 원금균등 분할상환","2,000~3,000","2, 5(상환0, 3/거치2)",2년간 2~3,신청일 현재 사업장(법인의 경우 본점 포함)이 소재하고 사업자 등록을 필한 소상공인으로서 신용보증기관 보증지원 및 금융기관 대출금지원에 결격사유가 없는 자,-,기관 문의,없음,-,경북신용보증재단 / 취급은행,경북신용보증재단 054-474-7100,기관 문의,-,연 보증료율 0.8~1.0%,-,없음,협약금리-이차보전율 2.5% (경기도 지원),https://gbsinbo.co.kr/page/10054/10007.tc?pageDtlOrdrNo=1&boardMngNo=3&boardNo=474&importUrl=/board/view.tc,자금 소진 시까지
무관,대출상품 조회,0,소기업 소상공인 전환보증(대환자금),은행별 상이,-,"중소기업, 소상공인",대환,취급 은행(8개),5,-,-,5(상환0/거치0),은행별 상이(은행별 상이),재단의 보증을 이용 중인 기업,없음,없음,없음,-,신용보증재단중앙회 / 취급 은행(8개),17개 신용보증재단(대표번호 1588-7365),지점 방문 및 문의,없음,"보증료율 : 재단의 제규정에 의해 산출된 보증로율* 단, 대표자의 개인신용평점 744점 이하인 경우 0.2%p 감면",-,없음,보증한도: 전차보증의 기보증잔액 이내,https://www.koreg.or.kr,한도 소진 시까지
강원특별자치도,대출상품 조회,0,기업가형 소상공인 육성 협약보증,-,20000,소상공인,운전,국민은행,5,일시상환/분할상환,20000,5(상환4/거치1),-,"신용보증신청 접수일 현재 사업자등록 후 가동 중이며, 다음의 어느 하나에 해당되는 중소기업■ 기업가형 소상공인1. 소상공인시장진흥공단의 로컬 크리에이터 육성 사업에 선정된 기업2. 소상공인시장진흥공단의 강한 소상공인 성장 지원사업에 선정된 기업3. 소상공인시장진흥공단으로부터 소상공인 복합융자사업에 선정된 기업* 우리동네 크라우드펀딩, 민간투자연계형 매칭융자 사업 선정 기업4. 중소벤처기업부로부터 백년가게(또는 백년소공인) 확인서를 발급받은 기업■ 예비 기업가형 소상공인소상공인시장진흥공단의 신사업창업사관학교를 수료한 후 사업화자금을 지원받은 중소기업",없음,없음,없음,-,"강원신용보증재단, 전북신용보증재단 / 국민은행","춘천지점: 033-260-0011(관할구역: 춘천, 화천, 양구, 철원)원주지점: 033-260-0051(관할구역: 원주, 횡성)강릉지점: 033-260-0061(관할구역: 강릉, 평창)속초지점: 033-260-0072(관할구역: 속초, 고성, 양양)태백지점: 033-260-0081(관할구역: 태백, 정선, 영월)동해지점: 033-260-0087(관할구역: 동해, 삼척)홍천지점: 033-260-0077(관할구역: 홍천, 인제",사업장 소재 신용보증재단 방문,없음,보증료율 : 연 0.8% 고정,-,-,-,https://www.gwsinbo.or.kr:10463/board/board_view.php?view_id=138&board_name=product&page=1&search_category=&search_field=subject+contents&search_text=%EA%B8%B0%EC%97%85%EA%B0%80%ED%98%95&search_operator=and,한도 소진 시까지
,대출상품 조회,0,(전라북도 소상공인 민생회복 금융지원사업 Track 2) 소기업육성 4無 안심자금 지원_Track2(“초기창업자 지원부문”),은행별 상이,9900,"소기업, 소상공인",창업,전북신용보증재단,8,원금균등분할상환,9900(변동금리),"8(상환7, 8/거치0, 1)",은행별 상이(변동금리),대상기업은 다음 각 호의 요건을 모두 충족하고 재단이 정하는 사업(창업)계획서를 제출한 소상공인 (예비)창업자로 한다.(소기업·중기업 제외)1. 사업장이 전라북도에 소재하고 업력 3개월 미만(예비창업자 포함)일 것2. 대표자(실제경영자 포함)의 개인 신용평점이 595점 이상일 것3. 대표자(예비창업자)가 보증신청 기업 외에 다른 기업체의 대표자(실제경영자 포함)가 아닐 것4. 재단 신용평가시스템에 의한 평가등급이 CCC등급 이상일 것5. 재단이 지정하는 (재)창업교육과 (재)창업컨설팅(또는 역량강화컨설팅)을 이수(수진)하였을 것6. 컨설턴트의 진단 Solution을 이행하였을 것7. 자기부담 50% 이상의 자금조달계획서를 제출하고 보증승인 전까지 자금조달 내역을 증빙할 것8. 예비창업자는 제5호의 요건을 충족하고 실시한 첫 번째 보증상담 이후 3개월 이내에 사업자등록을 완료할 것,없음,대표자(실제경영자 포함)의 개인 신용평점이 595점 이상,없음,-,전북신용보증재단 / 전북신용보증재단,전북신용보증재단 사업장주소지 관할 영업점,전북신용보증재단 각 지점 문의,-,없음 (재단에서 연 0.8%보증료 전액지원),-,없음,-,https://www.jbcredit.or.kr/site/menu/MENU_000000000000040/board/view/NTT_003520,자금소진시까지
울산광역시,대출상품 조회,0,경남은행 특별출연 소기업 소상공인 새희망 새출발 금융지원 협약보증,-,10000,중소기업 및 소상공인,운전,경남은행,5,-,10000,5,-,울산지역 소상공인 및 창업 후 7년 이내 중소기업,없음,-,없음,-,울산신용보증재단 / 경남은행,울산신용보증재단 052-289-2300,기관문의,-,보증료율 연 0.8% 내,-,-,보증비율- 같은기업당 재단보증금액 6천만원 이하 100%- 같은기업당 재단보증금액 6천만원 초과 : 90%,https://www.ulsanshinbo.co.kr,상시
울산광역시,대출상품 조회,0,울산광역시 저신용 소상공인 특례보증,-,2000,소상공인,운영·시설,"울산신용보증재단, 협약은행","3, 5","일시상환, 분할상환",2000,"3, 5(상환4/거치1, 3)",-,"울주군에 소재한 개인신용평점 744점 이하 소상공인으로서, 울주군 저신용 소상공인 특례보증 추천을 받은 기업",없음,개인신용평점 744점 이하 소상공인,없음,-,"울산신용보증재단 / 울산신용보증재단, 협약은행",울산신용보증재단 052-289-2300,기관문의,-,보증료율 0.8% (비율 100%),-,없음,-,https://www.ulsanshinbo.co.kr,상시
충청북도,대출상품 조회,0,단양군 소상공인지원자금,은행금리-2.0,5000,소상공인,운영ㆍ시설,"충북신용보증재단,대출협약은행(농협은행 단양군지부)",3(1년마다 기한연장 또는 3년만기 일시상환),3년 이내 일시상환,5000(변동금리),3(1년마다 기한연장 또는 3년만기 일시상환)(거치3),은행금리-2.0(변동금리),대표자가 단양군에 주민등록이 되어 있으며 단양군 내에 사업장을 두고 현재 영업 중인 소상공인,없음,없음,없음,-,"충북신용보증재단 / 충북신용보증재단,대출협약은행(농협은행 단양군지부)",043-249-5700,[비대면] 보증드림어플 또는 은행 어플로 신청 [대면] 충북신용보증재단 홈페이지 상담예약 후 내방,-,보증료율 연 1.0%내외,-,-,-,http://www.cbsinbo.or.kr,한도 소진 시 까지
대전광역시,대출상품 조회,0,ESG 실천 소기업. 소상공인 지원 특례보증,-,5000,"소기업, 소상공인",운영,대전신용보증재단,1,일시상환,5000(변동금리),1,-,"신용보증신청 접수일 현재 사업자등록후 가동중이며, 대표자 개인신용평점이 710점이상인 소기업.소상공인으로 붙임(첨부 파일 확인)의 ESG 경영실천기업에 해당되는 기업",없음,대표자 개인신용평점이 710점이상,없음,-,대전신용보증재단 / 대전신용보증재단,대전신용보증재단 042-380-3800,-,면제,-,-,없음,"* 지자체 정책자금 등으로 운용될 시, 정책자금의 금리 적용",https://www.sinbo.or.kr/sub02_04_02_04/view/id/2907,2022.09.20.~한도(200억원)소진시까지
부산광역시,대출상품 조회,0,2025년 부산시 임차 소상공인 지원 협약보증,1,15000,소상공인,,"하나, 우리",5,원금균등분할상환,15000,5(상환5/거치2),1,아래 요건을 모두 충족하는 부산시 소재 소상공인 1. 대표자 개인신용평점 595점 이상 2. 임차료를 부담하고 있는 임차사업자,없음,대표자 개인신용평점 595점 이상,없음,,"부산신용보증재단 / 하나, 우리",051-860-6600,-,-,보증료 0.9%,-,-,-,https://www.busansinbo.or.kr,-
무관,대출상품 조회,0,긴급경영안정자금(일시적 경영애로 소상공인),2.5,15000,소상공인,운전,소상공인시장진흥공단,5,원금균등분할상환,15000(고정금리),5(상환3/거치2),2.5(고정금리),위메프·티몬·인터파크쇼핑·AK몰·알렛츠 판매대금 미정산 피해 소상공인,없음,없음,없음,-,소상공인시장진흥공단 / 소상공인시장진흥공단,중소기업통합콜센터 1357,① 개인사업자 : 소상공인정책자금 홈페이지(ols.sbiz.or.kr)를 통한 신청 및 비대면 약정 (전자약정)② 법인사업자 : 소상공인정책자금 홈페이지(ols.sbiz.or.kr)를 통한 신청 후 센터 방문 약정 (대면약정),-,-,-,-,-,https://www.ols.semas.or.kr,한도 소진시까지
