카테고리,공고제목,본문,첨부파일
소진공 공고조회,서울 상생 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 서울 상생 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-07-01 ~ 2026-01-31 접수기간 2025-07-01 00:00 ~ 2026-02-01 00:00 공고내용 서울 상생 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 상생 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 7월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-743-3771 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-07-01 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 1   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,파주 출판인쇄 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 파주 출판인쇄 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-07-01 ~ 2026-01-31 접수기간 2025-07-01 00:00 ~ 2026-01-31 00:00 공고내용 파주 출판인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 파주 출판인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 7월 8일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-941-6001  - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-07-01 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 1   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,무안 도자 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 무안 도자 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-02-01 ~ 2026-01-31 접수기간 2025-04-22 00:00 ~ 2026-01-31 00:00 공고내용 무안 도자 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 무안 도자 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 22일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 061-450-6357  - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-22 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
유관사업 공고조회,[충북] 2025년 소상공인 출산지원 시범사업 참여자,"공고명 [충북] 2025년 소상공인 출산지원 시범사업 참여자 모집 공고 지원대상 소상공인 소관기관 충청북도 지원분야(대) 인력 지원분야(중) 고용환경개선 사업수행기관 충청북도기업진흥원 문의처 신청시스템(소상공인24) 1644-5302 및 시군지역별 문의처 공고문 P.5 참조 신청기간 예산 소진시까지 공고내용 충북도내 소상공인의 출산 및 육아로 인해 경영에서 일시적으로 이탈하는 경우 대체인력 인건비를 지원함으로써 사업 지속성을 보장하고 일자리 창출 및 지역경제 활성화를 목적으로「2025년 소상공인 출산지원 시범사업」의 참여자를 모집하오니 많은 참여 바랍니다.  ☞ 거주지 및 사업장 주소지가 모두 충북이며, 만 2세 미만의 자녀가 있고, 개업일로부터 6개월 이상의 직전 연도 연매출이 6억원 이하인 소상공인  ☞ 대체인력 인건비 월 최대 2백만원 지원(6개월, 최대 12백만원) 사업신청방법설명 온라인 접수 (소상공인24) 첨부파일 file_download2025년 소상공인 출산지원 시범사업 참여자 모집공고.PNG 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 1 공고이동 목록",file_download2025년 소상공인 출산지원 시범사업 참여자 모집공고.PNG
소진공 공고조회,포천 가산 가구 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 포천 가산 가구 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-03-31 ~ 2026-01-31 접수기간 2025-04-16 00:00 ~ 2026-01-31 23:59 공고내용 포천 가산 가구 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 포천 가산 가구소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 063-902-0003 / 063-902-1105 / 063-902-1106 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-16 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,전북 상생 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 전북 상생 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-04-16 ~ 2026-01-31 접수기간 2025-04-16 00:00 ~ 2026-01-31 23:59 공고내용 전북 상생 소공인특화지원센터 지원사업 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 전북 상생 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월11일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-4176-3209 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-16 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 5   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,경남 상생 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 경남 상생 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-04-16 ~ 2026-01-31 접수기간 2025-04-16 00:00 ~ 2026-01-31 23:59 공고내용 경남 상생 소공인특화지원센터 지원사업 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 경남 상생 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월11일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-724-1108 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-16 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,서울 창신 의류제조 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 서울 창신 의류제조 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-02-01 ~ 2026-01-31 접수기간 2025-04-11 00:00 ~ 2026-01-31 00:00 공고내용 서울 창신 의류제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 창신 의류제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월11일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-741-5365 / 02-741-5364 / 02-741-5366 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-11 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 5   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,영월 식품제조 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 영월 식품제조 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-02-01 ~ 2026-01-31 접수기간 2025-04-09 00:00 ~ 2026-01-31 00:00 공고내용 영월 식품제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 영월 식품제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 033-372-2455     - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-02-01 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 3   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,전주 팔복 금속가공 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 전주 팔복 금속가공 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-02-01 ~ 2026-01-31 접수기간 2025-04-09 00:00 ~ 2026-01-31 00:00 공고내용 전주 팔복 금속가공 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 전주 팔복 금속가공 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 063-902-0003 / 063-902-1105 / 063-902-1106 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-02-01 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 2   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,순창 장류 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 순창 장류 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-02-01 ~ 2026-01-31 접수기간 2025-04-09 00:00 ~ 2026-01-31 00:00 공고내용 순창 장류 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 순창 장류 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 063-652-1032 / 063-652-1034 / 063-652-1030 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-09 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,김해 진례 도자 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 김해 진례 도자 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-02-01 ~ 2026-01-31 접수기간 2025-04-09 00:00 ~ 2026-01-31 00:00 공고내용 김해 진례 도자 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 김해 진례 도자 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-4903-5545 / 070-4903-5546 / 055-345-6161 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-09 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,광주 충장 귀금속 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 광주 충장 귀금속 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-04-08 ~ 2026-01-31 접수기간 2025-04-08 00:00 ~ 2026-01-31 23:59 공고내용 광주 충장 귀금속 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 광주 충장 귀금속 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 062-226-3999 / 062-226-3999 / 062-226-3999 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-08 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,광주 서남 인쇄 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 광주 서남 인쇄 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-04-08 ~ 2026-01-31 접수기간 2025-04-08 00:00 ~ 2026-01-31 23:59 공고내용 광주 서남 인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 광주 서남 인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 062-236-5010 / 062-236-5011 / 062-236-5012 / 062-236-5013 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-08 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 3   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,부산 서동 의류제조 소공인특화지원센터 소공인 모집 공고,"공고꾸러미 추가 스크랩 추가 공고명 부산 서동 의류제조 소공인특화지원센터 소공인 모집 공고 모집유형 소상공인/예비창업자 지원사업유형명 지역소공인 육성-소공인 특화지원센터 설치∙운영 사업기간 2025-04-08 ~ 2026-01-31 접수기간 2025-04-08 00:00 ~ 2026-01-31 23:59 공고내용 부산 서동 의류제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 부산 서동 의류제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 051-525-9968 / 051-525-9968 / 051-525-9968 - 시스템 문의(오류 등) : 1644-5302  공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2025-04-08 ~ 2026-01-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 2   상세분야 목록 시도 arrow_drop_down 시군구 arrow_drop_down 모집기관 상세분야 조회 초기화 현재 1/0 , 총 0건 , 페이지당 : 10 20 30 50 100 200 500 1000 접수 모집/신청 정원 시도 시군구 상세분야 모집기관 모집기간 warning 데이터가 없습니다. 상담신청 목록",
소진공 공고조회,부산범천 가죽가방신발 소공인특화지원센터 소공인 모집 공,공고꾸러미 추가 스크랩 추가 공고명 모집유형 지원사업유형명 사업기간 접수기간 공고내용 공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상담신청 목록,
소진공 공고조회,부산 범일 의류제조 소공인특화지원센터 소공인 모집 공고,공고꾸러미 추가 스크랩 추가 공고명 모집유형 지원사업유형명 사업기간 접수기간 공고내용 공고문 미리보기 첨부파일 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요   상담신청 목록,
